symbol,base,status,kind,bars,first_bar,last_bar,ret_listing_to_end,dd_from_ath_high
DREPUSDT,DREP,BREAK,coin,1537,2020-01-16,2024-04-03,5.170161484695107,-0.9946854888935022
BULLUSDT,BULL,BREAK,coin,75,2020-01-17,2020-03-31,-0.8949382869392806,-0.9268520792184914
BEARUSDT,BEAR,BREAK,coin,75,2020-01-17,2020-03-31,-0.4982014388489209,-0.8821541710665258
ETHBULLUSDT,ETHBULL,BREAK,leveraged,59,2020-01-17,2020-03-31,-0.9272409832299564,-0.9847964669738863
ETHBEARUSDT,ETHBEAR,BREAK,leveraged,59,2020-01-17,2020-03-31,-0.8079949638023293,-0.8642030276046304
TCTUSDT,TCT,BREAK,coin,1008,2020-01-21,2022-10-24,-0.74,-0.9735368956743002
WRXUSDT,WRX,BREAK,coin,1786,2020-02-05,2024-12-25,-0.7358778625954199,-0.9974049740497405
BTSUSDT,BTS,BREAK,coin,1401,2020-02-06,2023-12-07,-0.8326619150914162,-0.9690686218352618
LSKUSDT,LSK,TRADING,coin,2416,2020-02-06,2026-09-17,-0.6696461279214594,-0.9607913043478261
BNTUSDT,BNT,TRADING,coin,2416,2020-02-06,2026-09-17,0.039945836154366976,-0.9672106650727407
LTOUSDT,LTO,BREAK,coin,1975,2020-02-07,2025-07-04,-0.9700291821121539,-0.9958195819581959
EOSBULLUSDT,EOSBULL,BREAK,leveraged,49,2020-02-12,2020-03-31,-0.9919578885802017,-0.9983957798593286
EOSBEARUSDT,EOSBEAR,BREAK,leveraged,49,2020-02-12,2020-03-31,1.1532430506058446,-0.8294472985942528
XRPBULLUSDT,XRPBULL,BREAK,leveraged,49,2020-02-12,2020-03-31,-0.9708666666666667,-0.9941733333333334
XRPBEARUSDT,XRPBEAR,BREAK,leveraged,49,2020-02-12,2020-03-31,0.29025049982359175,-0.8472762808412542
STRATUSDT,STRAT,BREAK,coin,268,2020-02-19,2020-11-12,0.07426067907995626,-0.7849122807017543
AIONUSDT,AION,BREAK,coin,1105,2020-02-19,2023-02-27,-0.9191252144082332,-0.9864355581127733
MBLUSDT,MBL,TRADING,coin,2401,2020-02-21,2026-09-17,-0.7721911855990069,-0.9830797602581834
COTIUSDT,COTI,TRADING,coin,2396,2020-02-26,2026-09-17,0.089952153110048,-0.9671757925072046
BNBBULLUSDT,BNBBULL,BREAK,leveraged,21,2020-03-11,2020-03-31,-0.8917748098823352,-0.977013941902045
BNBBEARUSDT,BNBBEAR,BREAK,leveraged,21,2020-03-11,2020-03-31,-0.625853814235557,-0.919779362450555
STPTUSDT,STPT,BREAK,coin,1882,2020-03-25,2025-05-19,2.677284595300261,-0.7602723404255319
WTCUSDT,WTC,BREAK,coin,1340,2020-04-07,2023-12-07,-0.9597970335675253,-0.9964776691060803
DATAUSDT,DATA,BREAK,coin,2139,2020-04-07,2026-02-13,-0.9796154737085939,-0.99725
XZCUSDT,XZC,BREAK,coin,294,2020-04-07,2021-01-25,0.2531003382187147,-0.540560090937274
SOLUSDT,SOL,TRADING,coin,2229,2020-08-11,2026-09-17,29.68970744277702,-0.657810228847649
CTSIUSDT,CTSI,TRADING,coin,2339,2020-04-23,2026-09-17,-0.5686616646309545,-0.9858742857142857
HIVEUSDT,HIVE,TRADING,coin,2335,2020-04-27,2026-09-17,-0.8857142857142857,-0.9850033683840543
CHRUSDT,CHR,TRADING,coin,2325,2020-05-07,2026-09-17,-0.3409945674885082,-0.9894866666666666
BTCUPUSDT,BTCUP,BREAK,leveraged,1386,2020-05-14,2024-02-28,0.6147859922178991,-0.9223838446180677
BTCDOWNUSDT,BTCDOWN,BREAK,leveraged,1386,2020-05-14,2024-02-28,-0.9998789581205312,-0.999903422982885
GXSUSDT,GXS,BREAK,coin,713,2020-05-13,2022-04-25,2.8685516943665013,-0.6857323210183934
ARDRUSDT,ARDR,BREAK,coin,2248,2020-05-15,2026-07-10,-0.4543087737568342,-0.9734683544303797
LENDUSDT,LEND,BREAK,coin,151,2020-05-15,2020-10-12,7.108308371433077,-0.42844918597544035
MDTUSDT,MDT,BREAK,coin,2149,2020-06-05,2026-04-23,-0.6087378640776699,-0.9774709302325582
STMXUSDT,STMX,BREAK,coin,1720,2020-06-11,2025-02-24,0.9508547008547006,-0.9541997752628621
KNCUSDT,KNC,TRADING,coin,2289,2020-06-12,2026-09-17,-0.8972634870992964,-0.9772270363951473
REPUSDT,REP,BREAK,coin,924,2020-06-12,2022-12-22,-0.6843299519487454,-0.9213279443806862
LRCUSDT,LRC,BREAK,coin,2120,2020-06-12,2026-04-01,-0.8193269230769231,-0.9951194805194805
PNTUSDT,PNT,BREAK,coin,1382,2020-06-22,2024-04-03,-0.9527665317139001,-0.99453125
COMPUSDT,COMP,TRADING,coin,2276,2020-06-25,2026-09-17,-0.9143859649122807,-0.9785729967069154
BKRWUSDT,BKRW,BREAK,coin,33,2020-07-06,2020-08-07,0.0035616763623411707,-0.49920018958469103
SCUSDT,SC,TRADING,coin,2265,2020-07-06,2026-09-17,-0.7085828343313373,-0.9863125
ZENUSDT,ZEN,TRADING,coin,2265,2020-07-06,2026-09-17,0.04548030603570408,-0.9563966199846363
SNXUSDT,SNX,TRADING,coin,2262,2020-07-09,2026-09-17,-0.9293978349120433,-0.9927987302025465
ETHUPUSDT,ETHUP,BREAK,leveraged,1326,2020-07-13,2024-02-28,0.2036157024793388,-0.9782034037187601
ETHDOWNUSDT,ETHDOWN,BREAK,leveraged,1326,2020-07-13,2024-02-28,-0.9956057692307693,-0.9960226283724978
ADAUPUSDT,ADAUP,BREAK,leveraged,1127,2020-07-16,2023-08-16,-0.9877790834312573,-0.9996922776484095
ADADOWNUSDT,ADADOWN,BREAK,leveraged,1127,2020-07-16,2023-08-16,-0.9998086826347306,-0.9998865076076017
LINKUPUSDT,LINKUP,BREAK,leveraged,995,2020-07-16,2023-04-06,-0.9993434125269979,-0.9998420779220779
LINKDOWNUSDT,LINKDOWN,BREAK,leveraged,995,2020-07-16,2023-04-06,-0.9999117357001972,-0.9999469786729858
VTHOUSDT,VTHO,TRADING,coin,2254,2020-07-17,2026-09-17,-0.5733333333333334,-0.976421052631579
DGBUSDT,DGB,TRADING,coin,2251,2020-07-20,2026-09-17,-0.8060836501901141,-0.9778260869565217
GBPUSDT,GBP,BREAK,stablecoin,1258,2020-07-20,2023-12-29,-0.062450341649451735,-0.5774547017116666
SXPUSDT,SXP,BREAK,coin,2082,2020-07-20,2026-04-01,-0.9986706948640484,-0.9996252129471891
MKRUSDT,MKR,BREAK,coin,1881,2020-07-23,2025-09-15,2.426471699539031,-0.7142852641959438
DAIUSDT,DAI,BREAK,stablecoin,21,2020-07-23,2020-08-12,-0.014698771878928651,-0.10732433853162793
DCRUSDT,DCR,TRADING,coin,2241,2020-07-30,2026-09-17,0.0718161506543249,-0.9328397313589254
STORJUSDT,STORJ,BREAK,coin,2227,2020-07-30,2026-09-03,-0.8457556935817805,-0.9922254109052961
BNBUPUSDT,BNBUP,BREAK,leveraged,1302,2020-08-06,2024-02-28,5.274111675126903,-0.9746845502431799
BNBDOWNUSDT,BNBDOWN,BREAK,leveraged,1302,2020-08-06,2024-02-28,-0.9997866071428572,-0.99996415
